90,2,3,3.5,2,1,131,6,759000
96,2,3,2,1,1,19,10,905000
60,4,2,1,1,0,56,11,608000
104,2,3,2.5,2,1,8,7,1280000
64,2,3,3,2,1,62,14,1045000
96,2,3,2.5,1,1,200,8,1025000
119,2,3,2.5,2,1,35,5,1215000
126,2,3,2.5,1,1,80,13,1040000
93,2,3,2.5,2,0,13,13,1105000
126,2,3,2.5,1,1,224,1,1350000
76,2,2,2.5,2,1,75,14,595000
133,2,3,2,1,1,74,16,1395000
140,2,3,2.5,2,1,80,17,1239000
95,2,2,1.5,1,1,40,12,700000
113,2,3,2.5,2,1,41,17,1271341.46
75,2,2,1.5,2,1,24,19,699000
120,2,4,3,2,1,22,17,1320000
94,2,3,2.5,2,1,46,22,989000
102,2,3,3,1,1,40,22,690000
89.47,2,2,2,2,1,35,15,792714.29
105,3,3,2.5,2,0,8,23,985000
97,2,2,2.5,2,1,125,16,782000
55,1,2,1,1,1,44,25,545000
71.05,2,3,2,1,1,15,23,790000
61,2,2,1.5,1,0,421,19,526500
71,2,2,2.5,1,1,200,17,749000
85.2,2,2,2.5,2,1,254,17,833410.14
76,2,3,2.5,1,1,29,28,852000
94,2,3,1.5,2,0,4,17,750000
69.93,2,3,2,2,1,200,36,544000
96,2,3,1.5,2,1,200,11,889000
86,2,3,2.5,2,1,40,36,690000
80,2,3,1.5,1,1,50,12,635000
78.73,2,2,2,2,1,300,39,1057000
103,2,3,2.5,2,1,59,41,1010000
80,2,2,1.5,2,1,50,17,576000
74,2,3,2,1,0,900,22,571000
67.33,1,2,1,2,1,360,42,754548.61
95,2,3,2,2,1,12,40,945000
61.36,2,2,1.5,1,1,472,25,570000
110,2,3,2.5,2,1,34,39,970000
120,2,3,2.5,2,0,45,22,950000
111,2,3,2.5,2,1,125,48,1486000
104,2,3,3,1,1,250,44,757000
90,2,2,1.5,1,1,5,41,890000
106,2,3,2.5,2,1,83,49,990000
93,2,3,2.5,2,1,225,51,756000
88,2,3,2,2,1,90,45,1010000
83.5,2,3,2.5,2,0,40,29,670000
124,2,3,3,2,0,18,39,1175000
76.24,2,2,2,2,1,220,55,591954.55
107,2,3,2.5,2,1,130,43,1120000
75,2,3,2.5,1,0,82,29,697000
119,2,3,2.5,2,1,210,30,1019000
67.09,1,1,2,2,1,109,41,1180000
66,2,3,1.5,1,1,350,41,580000
115,2,3,2.5,2,1,12,55,1250000
87,2,3,2,2,1,80,6,835000
108,2,3,2.5,2,1,176,60,1111363.64
97,2,3,3,2,0,550,54,690000
98.89,2,3,3,2,1,63,57,923333.33
113,2,3,3,2,1,43,55,865000
130,2,3,2.5,2,1,20,50,1098000
103,2,2,2.5,2,0,50,62,750000
107.49,2,3,2.5,2,1,175,51,1060868.57
90,2,3,3,2,1,37,18,850000
90,2,3,2,2,0,42,54,780000
73,2,2,2.5,1,1,443,65,655000
87.89,2,3,2,2,1,80,65,890000
85,2,3,2,2,1,16,55,836000
85,2,2,2,2,1,6,58,850000
93,2,3,2,1,0,110,28,670000
63,1,3,2,1,0,80,63,495000
83,2,2,1.5,1,1,237,70,831000
110.9,2,3,2.5,2,1,189,65,1012000
75,2,3,2,2,0,32,49,590000
94,2,2,2.5,1,1,400,53,953000
82.44,2,3,2,2,1,450,16,750000
90,2,2,1.5,1,0,60,67,800000
94,2,3,2.5,2,1,300,39,831000
73,2,3,2,2,0,521,73,612000
88,2,2,3,2,1,160,42,850000
104.51,2,3,3,2,1,440,54,1011261.36
105,2,3,2.5,2,0,16,58,750000
114,2,3,2.5,2,1,57,65,999000
73,2,2,1.5,2,1,152,8,943000
73.25,2,2,1.5,1,0,213,64,637366.2
64,1,2,1,2,0,200,85,495000
113.12,2,3,2,2,1,101,80,1044455.45
84.36,2,3,2,2,0,340,85,1100000
138,2,3,2.5,2,0,18,66,750000
102.8,2,3,2.5,2,1,80,61,1111600
110,2,3,2.5,2,1,618,39,1125600
82,2,3,3,2,1,340,94,679000
120,2,3,3,2,0,190,92,1131000
60,1,2,1,1,1,700,25,600000
80,2,3,2.5,1,0,24,58,620000
116,2,3,2.5,2,0,64,89,999375
82,2,3,1.5,2,1,280,67,990000
59,1,2,1,1,1,100,48,595000
67,1,3,2,1,1,32,82,690000
80,2,3,2,2,1,100,52,699000
62,2,2,1.5,1,1,300,36,620000
83.12,2,3,2,1,0,500,81,778000
122,2,3,3,2,0,26,30,1100000
54,1,2,1,1,0,330,80,481400
55,1,2,1,1,1,48,70,595000
100,2,3,2.5,2,1,152,86,600000
